omega,one_pathway,two_pathways_beta1_plus1pct,two_pathways_tuned
2.569780999999999871e-01,2.694462953395391179e-03,2.439170243246297900e-05,1.043140937011334284e-05
2.571031000000000288e-01,2.697910302615515524e-03,2.483608763131405083e-05,9.847570097792449095e-06
2.572281000000000151e-01,2.701366109246117544e-03,2.526075737197526366e-05,9.269079241201413729e-06
2.573036379829176656e-01,2.703458569645000604e-03,2.550790515057091166e-05,8.922663363710056189e-06
2.573531000000000013e-01,2.704830382077501663e-03,2.566590462057764726e-05,8.697292181915118354e-06
2.574781000000000430e-01,2.708303136803702060e-03,2.605186256568270688e-05,8.133432605912821500e-06
2.576031000000000293e-01,2.711784397280142013e-03,2.641908632431138283e-05,7.578588353664485651e-06
2.577281000000000155e-01,2.715274196772429240e-03,2.676813441145486854e-05,7.033710352078736327e-06
2.578136180238300712e-01,2.717666664284321219e-03,2.699679150195323648e-05,6.667102600236281733e-06
2.578531000000000017e-01,2.718772579148426207e-03,2.709965051910686305e-05,6.499614250756570056e-06
2.579780999999999880e-01,2.722279599958234760e-03,2.741434605238308423e-05,5.976984345117902726e-06
2.581031000000000297e-01,2.725795327343263214e-03,2.771298376844102975e-05,5.466379354764322029e-06
2.582163249293843443e-01,2.728987453973517625e-03,2.797029713190488060e-05,5.014623137093150533e-06
2.582281000000000160e-01,2.729319842712130129e-03,2.799636276564173893e-05,4.968239633769648245e-06
2.583531000000000022e-01,2.732853241124407698e-03,2.826530498018398497e-05,4.482895415222384991e-06
2.584781000000000439e-01,2.736395631328590507e-03,2.852064326916817192e-05,4.010575729204877499e-06
2.585343233582855782e-01,2.737991915703151709e-03,2.863127766843150197e-05,3.802418787802121432e-06
2.586031000000000302e-01,2.739947135412652834e-03,2.876321109233453583e-05,3.551417678841171864e-06
2.587281000000000164e-01,2.743507888040796344e-03,2.899383375342789909e-05,3.105475806731487348e-06
2.587854315448821496e-01,2.745144168994470470e-03,2.909583639354991702e-05,2.905361761526277928e-06
2.588531000000000026e-01,2.747078035270187832e-03,2.921332112210961248e-05,2.672731332903597800e-06
2.589780999999999889e-01,2.750657732963739284e-03,2.942246172949882312e-05,2.253101091526701510e-06
2.589837196986748413e-01,2.750818894473758009e-03,2.943163346582899299e-05,2.234541540970564521e-06
2.591031000000000306e-01,2.754247144839297272e-03,2.962201811330908598e-05,1.846446036140984545e-06
2.591402983927725279e-01,2.755317208137071996e-03,2.967966227846402535e-05,1.727909344549059483e-06
2.592281000000000168e-01,2.757846440217669604e-03,2.981272327912426088e-05,1.452579221026885654e-06
2.592639411166387520e-01,2.758880309776061152e-03,2.986587056641902207e-05,1.341974190454163182e-06
2.593531000000000031e-01,2.761455791552498359e-03,2.999527814194141782e-05,1.071273198630913963e-06
2.593615758762920498e-01,2.761700899248517842e-03,3.000737842833389206e-05,1.045866364506622238e-06
2.594386733875283513e-01,2.763932594737287390e-03,3.011589883023464606e-05,8.173452808542423897e-07
2.594781000000000448e-01,2.765075371839555759e-03,3.017034981516923355e-05,7.022667999825182858e-07
2.594995536135865088e-01,2.765697637396701079e-03,3.019969134567078502e-05,6.401506182229000453e-07
2.595476278233173062e-01,2.767093154466250104e-03,3.026472451288050693e-05,5.022349035027712447e-07
2.595855897329696904e-01,2.768196223978696812e-03,3.031539584316775038e-05,3.945679725530247085e-07
2.596031000000000311e-01,2.768705352011470965e-03,3.033857062059667890e-05,3.452712878295905576e-07
2.596155664417399422e-01,2.769067952258483928e-03,3.035499506894598441e-05,3.103144770633552240e-07
2.596392376183725981e-01,2.769756744441426860e-03,3.038601261632779596e-05,2.442579430382106564e-07
2.596579296171329654e-01,2.770300919654532928e-03,3.041035131729939793e-05,1.923905016875057879e-07
2.596726897966999403e-01,2.770730796910294159e-03,3.042947553238364533e-05,1.516159543345681850e-07
2.596843452062492785e-01,2.771070355448154894e-03,3.044451850693765749e-05,1.195317715952393319e-07
2.596935489270540964e-01,2.771338554177093030e-03,3.045636107103842928e-05,9.426702417038863220e-08
2.597008166662351236e-01,2.771550378837802503e-03,3.046569019400107676e-05,7.436058721286857523e-08
2.597065556530996910e-01,2.771717672204265272e-03,3.047304307744838511e-05,5.866876919536131010e-08
2.597110874572015060e-01,2.771849791729263587e-03,3.047884068236812250e-05,4.629471816075583673e-08
2.597146660066740331e-01,2.771954130156363636e-03,3.048341342048163500e-05,3.653412848931521973e-08
2.597174918164485979e-01,2.772036527435948507e-03,3.048702096446876571e-05,2.883326693852769550e-08
2.597197232235993192e-01,2.772101596504783841e-03,3.048986759848833786e-05,2.275638481326683782e-08
2.597214852593587864e-01,2.772152980856668839e-03,3.049211416022952004e-05,1.796033133185782376e-08
2.597228766549257717e-01,2.772193558132534166e-03,3.049388735998441233e-05,1.417472156335821345e-08
2.597239753736171330e-01,2.772225601009706535e-03,3.049528707112975133e-05,1.118641002484676691e-08
2.597248429793443392e-01,2.772250904326257082e-03,3.049639204468061838e-05,8.827313205268067626e-09
2.597255280861909821e-01,2.772270885513029512e-03,3.049726439543602198e-05,6.964845539431620605e-09
2.597260690823791074e-01,2.772286663930464534e-03,3.049795312820910561e-05,5.494399290366287477e-09
2.597264962812562694e-01,2.772299123535820666e-03,3.049849691221253085e-05,4.333426494264096489e-09
2.597268336198265692e-01,2.772308962380180559e-03,3.049892626547201949e-05,3.416778277086102905e-09
2.597271000000000440e-01,2.772316731701323592e-03,3.049926527596846600e-05,2.693032311010419634e-09
2.597281000000000173e-01,2.772345898425065958e-03,3.050053770189995207e-05,5.019528611390042248e-11
2.597290999999999905e-01,2.772375065835265724e-03,3.050180976374285030e-05,2.740536266983062884e-09
2.597293663801734653e-01,2.772382835570863253e-03,3.050214855443926143e-05,3.463845180147123399e-09
2.597297037187437652e-01,2.772392675079891986e-03,3.050257755517621079e-05,4.379790163634708662e-09
2.597301309176209272e-01,2.772405135751158066e-03,3.050312077388273887e-05,5.539633665759133342e-09
2.597306719138090525e-01,2.772420915878046847e-03,3.050380860004604379e-05,7.008267945930606398e-09
2.597313570206556954e-01,2.772440899806296460e-03,3.050467949685752481e-05,8.867829187950574712e-09
2.597322246263829015e-01,2.772466207519371818e-03,3.050578213869502062e-05,1.122226455019752937e-08
2.597333233450742629e-01,2.772498257447391940e-03,3.050717811045096660e-05,1.420310024248277075e-08
2.597347147406412482e-01,2.772538846030789868e-03,3.050894531324396981e-05,1.797672070194221155e-08
2.597364767764007154e-01,2.772590248516778894e-03,3.051118225753393114e-05,2.275354660924339347e-08
2.597387081835514366e-01,2.772655346667591506e-03,3.051401346784745925e-05,2.879959306818763698e-08
2.597415339933260015e-01,2.772737790586521107e-03,3.051759627642839230e-05,3.645100288377635037e-08
2.597451125427985286e-01,2.772842203809887125e-03,3.052212934571606006e-05,4.613228594165315214e-08
2.597496443469003435e-01,2.772974443286958020e-03,3.052786333236530832e-05,5.837915168169975381e-08
2.597553833337649110e-01,2.773141929022383129e-03,3.053511418853876324e-05,7.386700080945474972e-08
2.597626510729459381e-01,2.773354062187828248e-03,3.054427968454455784e-05,9.344633043064411800e-08
2.597718547937507561e-01,2.773622755669002092e-03,3.055585982710127722e-05,1.181864933387429532e-07
2.597835102033000942e-01,2.773963107643632672e-03,3.057048192565830233e-05,1.494293994310735418e-07
2.597982703828670692e-01,2.774394257331663696e-03,3.058893110814056690e-05,1.888547998107860961e-07
2.598169623816274365e-01,2.774940473124322751e-03,3.061218707727216204e-05,2.385586509854953716e-07
2.598406335582600923e-01,2.775632537709920526e-03,3.064146779160576513e-05,3.011455547155034864e-07
2.598531000000000035e-01,2.775997170541858079e-03,3.065681313485434339e-05,3.339473016974655627e-07
2.598706102670303442e-01,2.776509513712884219e-03,3.067828050550954681e-05,3.798351508053320604e-07
2.599085721766827284e-01,2.777620998352284265e-03,3.072448017483449072e-05,4.785802133535828590e-07
2.599566463864135257e-01,2.779030009008777707e-03,3.078233465516201883e-05,6.021904998243384775e-07
2.599780999999999898e-01,2.779659318889645455e-03,3.080792443884258536e-05,6.568388946986101785e-07
2.600175266124716833e-01,2.780816686700620603e-03,3.085459556626501243e-05,7.564503645658134800e-07
2.600946241237079848e-01,2.783083066237203654e-03,3.094457372492755203e-05,9.482088716793862534e-07
2.601031000000000315e-01,2.783332483373244983e-03,3.095436540505467959e-05,9.690484785707035324e-07
2.601922588833612826e-01,2.785959247558300860e-03,3.105621995841289536e-05,1.185407840051228524e-06
2.602281000000000177e-01,2.787016791981641092e-03,3.109659716873633043e-05,1.270931244992333004e-06
2.603159016072275067e-01,2.789611423347694574e-03,3.119421858043467646e-05,1.476995946056245015e-06
2.603531000000000040e-01,2.790712359913921897e-03,3.123504946244028265e-05,1.562845141480222416e-06
2.604724803013251933e-01,2.794252389327699961e-03,3.136411672543281998e-05,1.832658073995358473e-06
2.604781000000000457e-01,2.794419289123708291e-03,3.137012199740367451e-05,1.845148424391490399e-06
2.606031000000000319e-01,2.798137668261063693e-03,3.150218592876740200e-05,2.118197586443574459e-06
2.606707684551178850e-01,2.800155408219622520e-03,3.157254589711456930e-05,2.262276203089744090e-06
2.607281000000000182e-01,2.801867572973416962e-03,3.163158536795001739e-05,2.382345618685277746e-06
2.608531000000000044e-01,2.805609066515031471e-03,3.175863891272839753e-05,2.637940569766089918e-06
2.609218766417144564e-01,2.807672646924780444e-03,3.182765271866990397e-05,2.775048842109501076e-06
2.609780999999999906e-01,2.809362200606230556e-03,3.188364117103588066e-05,2.885324367107410677e-06
2.611031000000000324e-01,2.813127016480903349e-03,3.200686425999635826e-05,3.124831867806569131e-06
2.612281000000000186e-01,2.816903546061537075e-03,3.212855926560142145e-05,3.356790109878538975e-06
2.612398750706156902e-01,2.817259901890193079e-03,3.213995273102503186e-05,3.378263174410489897e-06
2.613531000000000049e-01,2.820691813205225985e-03,3.224895765273569641e-05,3.581517736995376684e-06
2.614781000000000466e-01,2.824491834970392894e-03,3.236827261729839769e-05,3.799324572473740417e-06
2.616031000000000328e-01,2.828303622862036147e-03,3.248670037561123968e-05,4.010511321609974536e-06
2.616425819761699634e-01,2.829510044579238229e-03,3.252395146073839622e-05,4.075887164218837566e-06
2.617281000000000191e-01,2.832127184021728666e-03,3.260442138798130683e-05,4.215369382420431171e-06
2.618531000000000053e-01,2.835962522337108493e-03,3.272160151424610079e-05,4.414180748826626294e-06
2.619780999999999915e-01,2.839809639453446787e-03,3.283839310181189123e-05,4.607217990728476233e-06
2.621031000000000333e-01,2.843668535676714942e-03,3.295493600629176447e-05,4.794744298307532662e-06
2.621525620170823689e-01,2.845198738585686272e-03,3.300101157276381589e-05,4.867482263729839286e-06
2.622281000000000195e-01,2.847539210764053405e-03,3.307135854659970021e-05,4.977013579531611618e-06
2.623531000000000057e-01,2.851421664601824345e-03,3.318777839638400334e-05,5.154270600395749049e-06
2.624781000000000475e-01,2.855315897774952233e-03,3.330430341432954799e-05,5.326751160086877889e-06
2.626031000000000337e-01,2.859221912035058485e-03,3.342103241600803974e-05,5.494682293365982738e-06
2.627281000000000200e-01,2.863139710674946197e-03,3.353805589047124323e-05,5.658282494277142320e-06
2.627983906297578498e-01,2.865347965277003587e-03,3.360402184375643704e-05,5.748455740736712899e-06
2.628531000000000062e-01,2.867069298819540160e-03,3.365545666436866879e-05,5.817761955537820786e-06
2.629780999999999924e-01,2.871010683642878213e-03,3.377331051668565061e-05,5.973322819336022130e-06
2.631031000000000342e-01,2.874963874521052707e-03,3.389168674729544229e-05,6.125159435704799756e-06
2.632281000000000204e-01,2.878928883130465240e-03,3.401064870212329661e-05,6.273458625259877646e-06
2.633531000000000066e-01,2.882905723500385747e-03,3.413025425805325114e-05,6.418399943507390244e-06
2.634781000000000484e-01,2.886894412027726699e-03,3.425055627004357001e-05,6.560155944860891841e-06
2.636031000000000346e-01,2.890894967461127892e-03,3.437160298341113374e-05,6.698892444259733810e-06
2.636162551803081233e-01,2.891316682687008598e-03,3.438438725790633337e-05,6.713324224105349247e-06
2.637281000000000208e-01,2.894907410861121549e-03,3.449343841366382169e-05,6.834768774989320714e-06
2.638531000000000071e-01,2.898931765541393289e-03,3.461610269620719876e-05,6.967938041679141757e-06
2.639780999999999933e-01,2.902968056996238153e-03,3.473963240835631464e-05,7.098547367396852165e-06
2.641031000000000351e-01,2.907016312818045019e-03,3.486406086563860978e-05,7.226738134234530121e-06
2.642281000000000213e-01,2.911076562608188624e-03,3.498941839428416385e-05,7.352646216715663706e-06
2.643531000000000075e-01,2.915148837883809428e-03,3.511573258194027205e-05,7.476402207827920672e-06
2.644781000000000493e-01,2.919233171983279425e-03,3.524302850819347420e-05,7.598131637269205315e-06
2.646031000000000355e-01,2.923329599971377386e-03,3.537132895639937609e-05,7.717955181908051925e-06
2.646519826317067503e-01,2.924934850796416085e-03,3.542178003852564582e-05,7.764320414485678605e-06
2.647281000000000217e-01,2.927438158546132908e-03,3.550065460857828307e-05,7.835988868163513656e-06
2.648531000000000080e-01,2.931558885948003235e-03,3.563102422444544581e-05,7.952344266579486931e-06
2.649780999999999942e-01,2.935691821872564618e-03,3.576245480587062500e-05,8.067128678557891763e-06
2.651031000000000359e-01,2.939837007386729949e-03,3.589496174824513552e-05,8.180445315205081723e-06
2.652281000000000222e-01,2.943994484849458016e-03,3.602855897932022975e-05,8.292393468837689355e-06
2.653531000000000084e-01,2.948164297836671204e-03,3.616325908695716234e-05,8.403068676878226145e-06
2.654781000000000502e-01,2.952346491070944549e-03,3.629907343652556369e-05,8.512562878663744174e-06
2.656031000000000364e-01,2.956541110355494304e-03,3.643601227866331030e-05,8.620964565278923947e-06
2.657281000000000226e-01,2.960748202512873684e-03,3.657408484837354522e-05,8.728358922816313611e-06
2.658531000000000089e-01,2.964967815327971580e-03,3.671329945600921001e-05,8.834827968833245277e-06
2.659636073412739443e-01,2.968708667160851328e-03,3.683733044343872503e-05,8.928245551634011871e-06
2.659780999999999951e-01,2.969199997495197609e-03,3.685366357108639242e-05,8.940450682949461917e-06
2.661031000000000368e-01,2.973444798569794059e-03,3.699518389900833355e-05,9.045303131292747352e-06
2.662281000000000231e-01,2.977702268923075688e-03,3.713786645178773912e-05,9.149458585255981226e-06
2.663531000000000093e-01,2.981972459701080855e-03,3.728171661288511864e-05,9.252987634809040979e-06
2.664781000000000510e-01,2.986255422786905905e-03,3.742673919697128313e-05,9.355958296699676526e-06
2.666031000000000373e-01,2.990551210766095695e-03,3.757293850461474664e-05,9.458436117450424573e-06
2.667281000000000235e-01,2.994859876895200005e-03,3.772031837274941290e-05,9.560484271869131611e-06
2.668531000000000097e-01,2.999181475072881711e-03,3.786888222092415313e-05,9.662163656952003926e-06
2.669780999999999960e-01,3.003516059813936701e-03,3.801863309382003142e-05,9.763532981490943564e-06
2.671031000000000377e-01,3.007863686225427987e-03,3.816957370031433933e-05,9.864648851592900015e-06
2.672281000000000240e-01,3.012224409985266634e-03,3.832170644938856556e-05,9.965565852456561069e-06
2.673531000000000102e-01,3.016598287322759010e-03,3.847503348316158307e-05,1.006633662632270109e-05
2.674781000000000519e-01,3.020985375000974187e-03,3.862955670713857801e-05,1.016701194706891678e-05
2.676031000000000382e-01,3.025385730301092830e-03,3.878527781811081743e-05,1.026764079145950099e-05
2.676246228684997508e-01,3.026144739565190048e-03,3.881221133590114495e-05,1.028496615021725720e-05
2.677281000000000244e-01,3.029799411008086193e-03,3.894219832959615514e-05,1.036827040724628353e-05
2.678531000000000106e-01,3.034226475398101204e-03,3.910031959547479488e-05,1.046894637840453715e-05
2.679780999999999969e-01,3.038666982226980937e-03,3.925964283148472328e-05,1.056971268739570983e-05
2.681031000000000386e-01,3.043120990720292549e-03,3.942016913498634954e-05,1.067061177490309011e-05
2.682281000000000248e-01,3.047588560564259454e-03,3.958189950313366606e-05,1.077168459703562330e-05
2.683531000000000111e-01,3.052069751897877863e-03,3.974483484962437242e-05,1.087297068014828187e-05
2.684781000000000528e-01,3.056564625305923689e-03,3.990897601995049355e-05,1.097450817324674030e-05
2.686031000000000390e-01,3.061073241812927413e-03,4.007432380540253125e-05,1.107633389848699998e-05
2.687281000000000253e-01,3.065595662877818994e-03,4.024087895600542597e-05,1.117848339950086860e-05
2.688531000000000115e-01,3.070131950389466159e-03,4.040864219222701863e-05,1.128099098784099243e-05
2.689780999999999977e-01,3.074682166662738320e-03,4.057761421591302918e-05,1.138388978747647623e-05
2.691031000000000395e-01,3.079246374435312076e-03,4.074779572003955674e-05,1.148721177784508451e-05
2.692281000000000257e-01,3.083824636864981091e-03,4.091918739792608763e-05,1.159098783491304496e-05
2.693531000000000120e-01,3.088417017527479019e-03,4.109178995137707433e-05,1.169524777091597775e-05
2.694781000000000537e-01,3.093023580414847561e-03,4.126560409841861251e-05,1.180002037257853991e-05
2.696031000000000399e-01,3.097644389934189196e-03,4.144063058010595671e-05,1.190533343774010290e-05
2.697281000000000262e-01,3.102279510906752556e-03,4.161687016696797063e-05,1.201121381094669590e-05
